frequency (Hz),RIN (Hz^-1/2)
7311.83355,3.99E-06
7341.503418,3.99E-06
7371.173286,4.00E-06
7400.843153,3.81E-06
7430.513021,3.69E-06
7460.182888,3.56E-06
7489.852756,3.38E-06
7519.522624,3.67E-06
7549.192491,3.84E-06
7578.862359,3.91E-06
7608.532227,3.80E-06
7638.202094,4.28E-06
7667.871962,4.33E-06
7697.541829,4.36E-06
7727.211697,4.25E-06
7756.881565,3.86E-06
7786.551432,4.05E-06
7816.2213,3.67E-06
7845.891168,3.88E-06
7875.561035,3.76E-06
7905.230903,3.74E-06
7934.90077,3.83E-06
7964.570638,3.70E-06
7994.240506,3.82E-06
8023.910373,3.62E-06
8053.580241,3.48E-06
8083.250109,3.47E-06
8112.919976,3.57E-06
8142.589844,4.02E-06
8172.259711,4.33E-06
8201.929579,4.32E-06
8231.599447,4.30E-06
8261.269314,4.10E-06
8290.939182,3.72E-06
8320.609049,4.08E-06
8350.278917,4.07E-06
8379.948785,3.98E-06
8409.618652,3.94E-06
8439.28852,3.78E-06
8468.958388,4.19E-06
8498.628255,4.19E-06
8528.298123,4.15E-06
8557.96799,4.06E-06
8587.637858,4.10E-06
8617.307726,4.50E-06
8646.977593,3.84E-06
8676.647461,3.72E-06
8706.317329,3.96E-06
8735.987196,4.24E-06
8765.657064,4.05E-06
8795.326931,3.77E-06
8824.996799,4.02E-06
8854.666667,4.00E-06
8884.336534,4.11E-06
8914.006402,4.34E-06
8943.67627,4.31E-06
8973.346137,4.37E-06
9003.016005,4.39E-06
9032.685872,4.07E-06
9062.35574,3.71E-06
9092.025608,4.05E-06
9121.695475,4.00E-06
9151.365343,3.83E-06
9181.035211,4.23E-06
9210.705078,3.85E-06
9240.374946,4.23E-06
9270.044813,4.38E-06
9299.714681,4.45E-06
9329.384549,4.49E-06
9359.054416,4.51E-06
9388.724284,4.80E-06
9418.394151,4.83E-06
9448.064019,4.90E-06
9477.733887,4.84E-06
9507.403754,4.33E-06
9537.073622,4.07E-06
9566.74349,4.16E-06
9596.413357,4.02E-06
9626.083225,4.38E-06
9655.753092,3.89E-06
9685.42296,3.65E-06
9715.092828,4.20E-06
9744.762695,4.35E-06
9774.432563,3.72E-06
9804.102431,3.90E-06
9833.772298,4.48E-06
9863.442166,4.67E-06
9893.112033,4.33E-06
9922.781901,4.50E-06
9952.451769,4.34E-06
9982.121636,4.32E-06
10011.7915,4.91E-06
10041.46137,5.13E-06
10071.13124,5.24E-06
10100.80111,4.87E-06
10130.47097,4.70E-06
10160.14084,4.00E-06
10189.81071,4.60E-06
10219.48058,4.37E-06
10249.15045,4.56E-06
10278.82031,4.32E-06
10308.49018,4.00E-06
10338.16005,3.92E-06
10367.82992,4.45E-06
10397.49978,4.82E-06
10427.16965,4.41E-06
10456.83952,4.50E-06
10486.50939,4.71E-06
10516.17925,4.83E-06
10545.84912,4.45E-06
10575.51899,3.68E-06
10605.18886,4.17E-06
10634.85872,4.55E-06
10664.52859,4.52E-06
10694.19846,4.43E-06
10723.86833,4.70E-06
10753.53819,4.82E-06
10783.20806,4.75E-06
10812.87793,4.55E-06
10842.5478,4.50E-06
10872.21767,4.67E-06
10901.88753,5.09E-06
10931.5574,5.29E-06
10961.22727,4.98E-06
10990.89714,4.95E-06
11020.567,5.56E-06
11050.23687,5.25E-06
11079.90674,4.91E-06
11109.57661,5.25E-06
11139.24647,4.90E-06
11168.91634,3.98E-06
11198.58621,4.82E-06
11228.25608,4.82E-06
11257.92594,4.95E-06
11287.59581,4.38E-06
11317.26568,4.25E-06
11346.93555,4.18E-06
11376.60541,4.37E-06
11406.27528,4.59E-06
11435.94515,4.55E-06
11465.61502,4.24E-06
11495.28489,4.56E-06
11524.95475,4.61E-06
11554.62462,4.64E-06
11584.29449,5.08E-06
11613.96436,5.02E-06
11643.63422,4.54E-06
11673.30409,4.61E-06
11702.97396,4.77E-06
11732.64383,4.42E-06
11762.31369,4.57E-06
11791.98356,4.70E-06
11821.65343,4.28E-06
11851.3233,4.73E-06
11880.99316,4.60E-06
11910.66303,4.31E-06
11940.3329,4.33E-06
11970.00277,4.81E-06
11999.67264,4.94E-06
12029.3425,5.10E-06
12059.01237,5.24E-06
12088.68224,4.81E-06
12118.35211,4.20E-06
12148.02197,4.92E-06
12177.69184,5.41E-06
12207.36171,5.51E-06
12237.03158,5.37E-06
12266.70144,4.61E-06
12296.37131,4.93E-06
12326.04118,5.10E-06
12355.71105,5.02E-06
12385.38091,5.14E-06
12415.05078,4.93E-06
12444.72065,4.87E-06
12474.39052,4.79E-06
12504.06038,5.08E-06
12533.73025,5.26E-06
12563.40012,5.61E-06
12593.06999,5.12E-06
12622.73986,4.78E-06
12652.40972,4.59E-06
12682.07959,4.74E-06
12711.74946,4.84E-06
12741.41933,4.69E-06
12771.08919,5.15E-06
12800.75906,5.43E-06
12830.42893,5.29E-06
12860.0988,5.20E-06
12889.76866,4.93E-06
12919.43853,4.88E-06
12949.1084,5.16E-06
12978.77827,5.12E-06
13008.44813,4.79E-06
13038.118,4.97E-06
13067.78787,4.94E-06
13097.45774,4.95E-06
13127.1276,4.87E-06
13156.79747,4.79E-06
13186.46734,5.16E-06
13216.13721,5.03E-06
13245.80708,5.15E-06
13275.47694,5.24E-06
13305.14681,5.26E-06
13334.81668,5.35E-06
13364.48655,5.00E-06
