Frequency (Hz),1A,2A,3A,4A,5A
2327.29579,2.31E-06,1.18E-06,9.98E-07,1.26E-06,1.46E-06
2356.965658,2.04E-06,1.27E-06,9.74E-07,1.31E-06,1.32E-06
2386.635525,2.05E-06,1.10E-06,8.04E-07,1.43E-06,1.29E-06
2416.305393,1.92E-06,1.05E-06,8.54E-07,1.44E-06,1.27E-06
2445.97526,2.30E-06,1.27E-06,1.06E-06,1.48E-06,1.21E-06
2475.645128,2.00E-06,1.19E-06,1.20E-06,1.35E-06,1.58E-06
2505.314996,1.88E-06,1.39E-06,1.14E-06,1.33E-06,1.48E-06
2534.984863,2.22E-06,1.64E-06,1.15E-06,9.24E-07,1.27E-06
2564.654731,2.13E-06,1.63E-06,1.09E-06,1.16E-06,1.36E-06
2594.324599,2.13E-06,1.36E-06,1.41E-06,1.30E-06,1.39E-06
2623.994466,1.68E-06,1.16E-06,1.51E-06,1.48E-06,1.18E-06
2653.664334,1.70E-06,1.43E-06,1.45E-06,1.39E-06,1.18E-06
2683.334201,2.04E-06,1.42E-06,1.23E-06,1.29E-06,1.18E-06
2713.004069,2.18E-06,1.73E-06,1.19E-06,1.35E-06,1.34E-06
2742.673937,1.91E-06,1.70E-06,1.12E-06,1.52E-06,1.31E-06
2772.343804,1.98E-06,1.19E-06,1.16E-06,1.35E-06,1.25E-06
2802.013672,1.96E-06,1.56E-06,1.08E-06,1.54E-06,9.43E-07
2831.683539,2.16E-06,1.77E-06,1.10E-06,1.38E-06,1.29E-06
2861.353407,1.94E-06,1.72E-06,1.22E-06,1.33E-06,1.26E-06
2891.023275,2.16E-06,1.79E-06,9.38E-07,1.09E-06,1.59E-06
2920.693142,2.28E-06,1.71E-06,9.86E-07,9.84E-07,1.47E-06
2950.36301,2.42E-06,1.48E-06,1.08E-06,1.04E-06,9.57E-07
2980.032878,2.81E-06,1.56E-06,1.10E-06,1.09E-06,8.99E-07
3009.702745,2.68E-06,1.58E-06,1.50E-06,1.10E-06,9.95E-07
3039.372613,2.26E-06,1.56E-06,1.43E-06,1.13E-06,1.13E-06
3069.04248,1.99E-06,1.65E-06,1.44E-06,1.24E-06,1.20E-06
3098.712348,1.67E-06,1.67E-06,1.41E-06,1.34E-06,1.02E-06
3128.382216,1.71E-06,1.45E-06,1.34E-06,1.30E-06,1.08E-06
3158.052083,1.43E-06,1.76E-06,1.21E-06,1.06E-06,9.56E-07
3187.721951,1.81E-06,1.80E-06,1.07E-06,1.43E-06,1.01E-06
3217.391819,2.06E-06,1.67E-06,1.08E-06,1.23E-06,1.17E-06
3247.061686,2.56E-06,1.50E-06,1.05E-06,8.87E-07,1.11E-06
3276.731554,2.64E-06,1.53E-06,1.04E-06,1.11E-06,1.22E-06
3306.401421,2.17E-06,1.25E-06,1.20E-06,1.09E-06,1.35E-06
3336.071289,2.43E-06,1.35E-06,1.08E-06,1.04E-06,1.25E-06
3365.741157,2.20E-06,1.39E-06,8.71E-07,1.20E-06,1.23E-06
3395.411024,2.07E-06,1.35E-06,9.32E-07,1.29E-06,1.26E-06
3425.080892,2.08E-06,1.42E-06,1.34E-06,1.35E-06,1.40E-06
3454.75076,2.04E-06,1.20E-06,1.38E-06,1.28E-06,1.47E-06
3484.420627,2.30E-06,1.19E-06,1.33E-06,1.34E-06,1.56E-06
3514.090495,2.62E-06,1.46E-06,1.58E-06,1.14E-06,1.39E-06
3543.760362,2.68E-06,1.67E-06,1.39E-06,1.19E-06,1.18E-06
3573.43023,2.40E-06,1.69E-06,1.08E-06,1.17E-06,1.11E-06
3603.100098,2.63E-06,1.72E-06,1.47E-06,1.26E-06,1.26E-06
3632.769965,2.46E-06,1.80E-06,1.42E-06,1.22E-06,1.45E-06
3662.439833,2.25E-06,1.92E-06,1.53E-06,1.11E-06,1.28E-06
3692.109701,2.71E-06,1.30E-06,1.36E-06,1.45E-06,1.28E-06
3721.779568,2.74E-06,1.28E-06,1.22E-06,1.47E-06,1.30E-06
3751.449436,2.58E-06,1.32E-06,1.24E-06,1.39E-06,1.24E-06
3781.119303,2.46E-06,1.30E-06,1.40E-06,1.24E-06,1.24E-06
3810.789171,2.26E-06,1.44E-06,1.26E-06,1.24E-06,1.03E-06
3840.459039,2.52E-06,1.26E-06,1.18E-06,1.22E-06,1.02E-06
3870.128906,2.30E-06,1.11E-06,1.20E-06,1.28E-06,1.11E-06
3899.798774,2.35E-06,1.39E-06,1.39E-06,9.16E-07,1.58E-06
3929.468641,2.09E-06,1.24E-06,1.35E-06,1.03E-06,1.63E-06
3959.138509,1.86E-06,1.37E-06,1.17E-06,1.36E-06,1.39E-06
3988.808377,1.91E-06,1.47E-06,1.45E-06,1.11E-06,1.03E-06
4018.478244,2.14E-06,1.68E-06,1.51E-06,1.01E-06,9.84E-07
4048.148112,2.52E-06,1.51E-06,1.73E-06,1.29E-06,1.14E-06
4077.81798,2.87E-06,1.39E-06,1.36E-06,1.45E-06,1.15E-06
4107.487847,3.31E-06,1.34E-06,1.49E-06,1.32E-06,1.07E-06
4137.157715,2.57E-06,1.28E-06,1.14E-06,1.14E-06,1.14E-06
4166.827582,2.40E-06,1.24E-06,1.42E-06,1.25E-06,1.41E-06
4196.49745,3.14E-06,1.56E-06,1.40E-06,1.43E-06,1.36E-06
4226.167318,3.07E-06,1.56E-06,1.31E-06,1.47E-06,1.25E-06
4255.837185,2.50E-06,1.71E-06,1.20E-06,1.29E-06,1.11E-06
4285.507053,1.78E-06,1.63E-06,1.22E-06,1.33E-06,1.24E-06
4315.176921,2.36E-06,1.35E-06,1.20E-06,1.61E-06,1.48E-06
4344.846788,2.64E-06,1.41E-06,1.23E-06,1.64E-06,1.33E-06
4374.516656,2.68E-06,1.27E-06,1.35E-06,1.75E-06,1.12E-06
4404.186523,3.03E-06,1.31E-06,1.45E-06,1.37E-06,1.29E-06
4433.856391,3.18E-06,1.65E-06,1.46E-06,1.31E-06,1.42E-06
4463.526259,3.20E-06,1.68E-06,1.23E-06,1.11E-06,1.08E-06
4493.196126,3.04E-06,1.59E-06,1.37E-06,1.14E-06,1.28E-06
4522.865994,2.66E-06,1.60E-06,1.51E-06,1.35E-06,1.12E-06
4552.535862,2.73E-06,1.43E-06,1.65E-06,1.43E-06,1.45E-06
4582.205729,2.73E-06,1.40E-06,1.40E-06,1.17E-06,1.37E-06
4611.875597,2.68E-06,1.21E-06,1.16E-06,1.34E-06,1.14E-06
4641.545464,2.89E-06,1.57E-06,1.00E-06,1.36E-06,1.39E-06
4671.215332,2.60E-06,1.60E-06,9.79E-07,1.56E-06,1.67E-06
4700.8852,2.54E-06,1.49E-06,1.06E-06,1.47E-06,1.57E-06
4730.555067,2.51E-06,1.56E-06,1.30E-06,1.21E-06,1.52E-06
4760.224935,2.13E-06,1.80E-06,1.33E-06,1.41E-06,1.36E-06
4789.894803,2.50E-06,1.79E-06,1.39E-06,1.58E-06,1.35E-06
4819.56467,2.34E-06,1.39E-06,1.37E-06,1.60E-06,1.28E-06
4849.234538,2.35E-06,1.60E-06,1.60E-06,1.53E-06,1.09E-06
4878.904405,2.53E-06,1.90E-06,1.46E-06,1.31E-06,1.19E-06
4908.574273,2.47E-06,1.55E-06,1.44E-06,1.48E-06,1.08E-06
4938.244141,2.50E-06,1.33E-06,1.25E-06,1.45E-06,1.54E-06
4967.914008,2.82E-06,1.50E-06,1.31E-06,1.37E-06,1.45E-06
4997.583876,2.92E-06,1.49E-06,1.31E-06,1.12E-06,1.57E-06
5027.253743,2.92E-06,1.43E-06,1.32E-06,1.57E-06,1.20E-06
5056.923611,3.67E-06,1.49E-06,1.31E-06,1.47E-06,1.30E-06
5086.593479,2.90E-06,1.71E-06,1.31E-06,1.41E-06,1.47E-06
5116.263346,2.84E-06,1.71E-06,1.28E-06,1.51E-06,1.25E-06
5145.933214,2.24E-06,1.72E-06,1.26E-06,1.57E-06,1.79E-06
5175.603082,2.21E-06,1.61E-06,1.30E-06,1.75E-06,1.72E-06
5205.272949,2.43E-06,1.43E-06,1.16E-06,1.33E-06,1.41E-06
5234.942817,2.48E-06,1.64E-06,1.13E-06,1.39E-06,1.41E-06
5264.612684,2.52E-06,1.83E-06,1.60E-06,1.19E-06,1.47E-06
5294.282552,3.05E-06,1.46E-06,1.69E-06,1.33E-06,1.55E-06
5323.95242,2.82E-06,1.63E-06,1.89E-06,1.46E-06,1.72E-06
